"GDP per capita","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"Morocco","1493.522","1549.237","1757.294","1773.848","1873.157","2006.908","2166.06","2113.063","2361.44","2455.03","2639.531","2870.252","2821.287","2815.8","3125.74","2974.384","3355.654","3313.32","3543.665","3584.085","3683.723","3986.095","4120.215","4388.44","4661.327","4900.808","5362.189","5628.626","6001.89","6225.953","6458.374","6854.591","6856.813","7090.594","6793.07","7244.166","7355.973","7580.998","7923.768","8180.157","7619.886","8027.282","8446.097","8871.516","9299.261","9734.305","10172.889"
"Mozambique","200.786","225.269","217.599","186.757","178.065","183.614","182.291","214.52","240.758","265.551","274.69","295.495","274.751","299.708","314.293","317.274","348.769","384.341","416.51","460.103","463.542","516.56","557.626","590.406","636.277","680.614","743.5","799.631","850.442","885.876","927.912","989.146","1000.502","1047.826","1100.126","1248.075","1319.972","1245.03","1284.006","1301.686","1276.615","1292.63","1348.157","1459.746","1613.277","1783.963","1865.524"
"Myanmar","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","798.521","865.93","982.045","1115.452","1233.195","1410.142","1658.38","1930.046","2239.461","2571.03","2801.116","2926.783","3094.648","3307.764","3696.748","3941.249","4130.258","4224.239","4141.472","4332.722","4684.948","5053.608","5241.645","4830.574","4978.446","5296.521","5648.331","6018.12","6412.806"
"Namibia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","4081.692","4263.309","4592.689","4476.399","4570.85","4721.985","4814.038","4944.346","5004.793","5088.211","5316.211","5557.053","5924.547","6142.129","6614.1","7014.338","7379.872","7847.744","8091.007","8055.984","8514.331","8999.744","9511.583","9901.42","10633.421","10792.674","10578.101","10316.885","10481.626","10299.512","9396.838","9541.875","9799.612","10030.261","10198.914","10357.404","10509.18"
"Nauru","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","3503.274","3645.35","4433.41","3483.481","4203.134","4543.136","4892.27","5473.584","5983.632","7646.289","9045.652","8973.014","8930.066","8342.686","9199.481","9858.464","9855.628","9995.203","10115.224","10224.3","10294.275","10351.348","10396.689"
"Nepal","448.178","519.411","559.215","550.851","611.705","654.742","682.969","696.248","759.175","804.151","851.653","912.38","945.547","978.122","1052.81","1084.581","1136.308","1190.077","1213.466","1261.439","1343.868","1426.452","1428.551","1491.061","1581.559","1666.244","1752.496","1838.69","1967.698","2055.851","2169.514","2288.231","2505.327","2702.113","2947.213","2996.221","2989.927","3565.915","3865.401","4142.178","4060.595","4199.084","4417.265","4727.508","5020.694","5313.856","5619.947"
"Netherlands","11720.981","12658.372","13196.328","13901.955","14795.949","15605.163","16331.515","16945.139","18222.598","19664.89","21128.553","22202.856","22888.739","23555.891","24617.32","25692.203","26954.913","28471.81","29968.807","31716.595","33566.316","34830.694","35198.119","35714.643","37252.885","39085.223","41588.936","44252.644","45960.026","44394.481","45269.146","46703.305","47341.62","49314.469","49337.709","50418.735","52440.793","55509.264","57846.71","59516.936","57534.173","60460.93","63496.956","65929.177","68186.264","70374.549","72592.055"
"New Zealand","9187.942","10300.765","11164.87","11477.989","12581.118","13010.198","13390.546","13931.983","14370.673","14843.705","15218.751","15126.958","15416.045","16415.1","17465.914","18428.671","19225.402","19783.145","19890.91","20975.467","22233.575","23140.811","24216.998","25224.666","26739.615","28116.208","29457.005","30989.395","31277.848","30819.134","31384.506","32375.075","32735.858","35462.763","36993.288","36967.25","39267.6","40971.125","42618.262","43689.071","42018.047","44225.957","46167.311","47749.045","49225.263","50634.595","52054.865"
"Nicaragua","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","2193.929","2303.864","2427.921","2501.463","2571.731","2737.707","2855.866","2944.513","2953.151","3022.088","3203.178","3376.159","3585.079","3817.85","3973.747","3822.685","3986.944","4196.65","4363.384","4556.328","4897.516","5260.512","5672.494","5995.596","5836.234","5651.147","5574.78","5648.202","5870.864","6060.587","6233.916","6423.037","6654.216"
"Niger","703.952","743.833","779.904","752.952","627.483","674.9","709.188","704.82","755.868","768.749","762.883","760.207","766.987","761.282","765.243","773.526","761.491","759.279","814.992","795.924","775.388","819.63","842.127","844.756","838.934","894.536","940.425","959.323","1014.538","1003.375","1060.602","1066.129","1156.135","1125.268","1138.765","1145.241","1148.283","1163.64","1229.589","1276.113","1258.705","1319.574","1466.624","1605.927","1685.387","1760.799","1830.523"
"Nigeria","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","1829.122","1833.258","1868.456","1894.703","1892.347","1919.809","1984.165","2025.581","2047.843","2036.775","2142.879","2277.938","2585.887","2811.928","3108.578","3342.486","3580.555","3843.298","4090.274","4348.397","4765.343","4967.821","5000.032","5225.167","5507.167","5426.346","5234.686","5190.363","5278.839","5352.672","5186.766","5280.275","5388.086","5498.551","5604.23","5701.117","5793.52"
"North Macedonia ","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","5993.684","5648.074","5636.022","5657.286","5789.807","5950.386","6190.886","6524.467","6946.208","6858.297","7051.301","7324.759","7849.851","8458.793","9139.649","9976.919","10709.495","10730.954","11195.741","11682.801","11908.504","12716.658","13423.774","13884.951","15127.586","15640.295","16462.641","17295.716","16712.04","17663.209","18785.544","19921.154","21050.029","22214.997","23423.981"
"Norway","14816.172","16418.061","17408.033","18754.594","20550.289","22305.805","23590.629","24455.685","25119.455","26297.939","27699.975","29353.052","30912.848","32353.138","34526.102","36533.844","38870.911","41436.597","42738.71","43904.566","46041.754","47830.119","48987.134","50068.815","53152.241","55850.888","58416.648","61131.153","61761.495","60454.747","60766.884","61827.823","65100.984","66742.128","65647.112","60189.92","58735.939","62782.105","64597.963","65904.563","65800.1","69171.005","73123.359","76443.456","79216.962","81840.887","84321.204"
"Oman","8976.5","10620.573","12573.711","14067.716","15495.102","18306.786","17883.595","16559.345","18042.5","18236.557","22642.506","23951.408","25653.7","26943.965","27697.931","28831.729","29480.678","31163.809","31746.411","31732.737","33967.26","35657.414","35235.417","34356.413","35121.985","36438.92","38785.228","40742.086","43987.749","45441.655","45067.612","42936.108","43037.729","41211.821","39151.455","32165.641","29352.964","29758.244","30473.808","30653.98","30178.421","30404.127","32468.26","33034.871","33404.06","33555.076","33788.835"
"Pakistan","873.965","986.853","1094.69","1180.86","1237.525","1350.851","1427.096","1507.329","1618.553","1718.712","1812.382","1927.074","2034.135","2072.092","2153.616","2253.406","2386.952","2410.969","2464.346","2545.026","2643.643","2681.756","2753.827","2865.86","3101.93","3419.28","3659.586","3895.752","4005.281","3965.602","4030.264","4176.486","4206.745","4299.915","4446.138","4593.127","4639.469","4817.915","5110.764","5203.809","5150.037","5224.334","5452.404","5721.099","6019.957","6328.5","6647.729"
"Palau","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","8272.479","8869.486","9258.195","9049.933","9667.478","10281.031","10606.401","11208.397","11013.564","10639.313","10980.413","12003.101","12666.395","12820.4","13869.24","14452.743","14365.041","14324.473","15840.122","15915.597","14308.513","12861.66","14382.863","16617.347","17107.174","17613.727","18116.073"
"Panama","3534.704","4124.86","4506.169","4370.132","4545.906","4812.664","4974.481","4898.634","4300.581","4445.196","4883.909","5408.16","5859.756","6194.823","6374.001","6487.403","6949.2","7374.978","7843.436","8100.264","8338.417","8398.81","8552.269","8904.259","9644.561","10461.023","11484.261","12983.903","14285.145","14321.937","15074.308","16845.133","18596.285","20727.235","22827.398","25275.185","27828.763","30510.958","31895.644","32975.955","27002.932","30388.356","32199.387","34128.188","36124.724","38201.847","40374.588"
"Papua New Guinea","1075.147","1159.063","1212.992","1275.133","1279.976","1334.843","1409.084","1505.958","1557.919","1529.454","1472.285","1617.571","1745.361","1974.084","2170.593","2083.629","2203.404","2045.883","2111.623","2128.204","2070.207","2062.311","2041.817","2214.306","2233.485","2345.191","2420.381","2618.406","2601.108","2736.277","2891.206","2830.28","2863.108","2960.225","3351.445","3531.131","3687.264","3809.912","3811.014","4022.466","3833.369","3956.26","4131.19","4239.745","4349.931","4466.87","4582.907"
"Paraguay","3536.689","4103.419","4171.144","4080.417","4220.341","4390.896","4352.945","4499.504","4780.45","5095.197","5503.661","5529.706","5636.644","5933.928","6255.274","6685.724","6776.986","7042.595","6984.178","6848.476","6702.743","6665.817","6646.877","6937.766","7285.237","7542.467","8009.098","8528.888","9099.769","9001.719","9964.549","10442.629","9960.81","11004.341","11326.622","11357.709","11895.418","12437.522","12978.188","13021.816","12881.025","13454.196","14115.853","14811.577","15441.461","16077.955","16726.079"
"Peru","3109.699","3501.734","3617.097","3328.008","3496.668","3599.26","4024.054","4344.287","3985.451","3510.503","3386.86","3508.26","3500.035","3700.119","4166.806","4488.431","4617.169","4916.23","4870.595","4935.166","5102.673","5170.553","5461.588","5716.846","6081.862","6581.425","7202.817","7933.24","8727.365","8787.042","9532.699","10243.019","10555.061","11088.231","11323.908","11412.041","11988.219","12536.813","13207.051","13327.718","11871.216","12984.882","13825.64","14663.359","15322.597","15972.186","16634.563"
"Philippines","1925.134","2125.736","2281.66","2356.077","2207.614","2060.063","2121.724","2212.629","2391.18","2577.654","2692.611","2708.421","2718.08","2777.899","2893.961","3020.355","3097.866","3241.243","3181.691","3265.023","3486.107","3593.668","3707.888","3889.398","4172.937","4429.693","4716.667","5065.744","5293.41","5317.642","5676.222","5919.231","6359.805","6687.843","7045.232","7278.232","7788.953","8199.054","8794.108","9356.442","8452.403","9061.076","9721.508","10427.508","11168.714","11947.85","12770.839"
"Poland","4829.159","4715.033","4720.347","5107.306","5226.997","5558.855","5832.846","6083.591","6498.849","7004.105","6681.225","6406.54","6668.341","7097.708","7613.214","8295.854","8968.127","9761.683","10357.795","10980.748","11827.892","12235.973","12612.849","13304.743","14354.211","15327.075","16766.461","18447.924","19601.657","20299.727","21367.757","22828.03","23745.315","24553.092","25471.41","26855.679","28321.382","30161.551","32536.055","34624.263","34102.774","35957.01","38479.674","40964.488","43144.287","45325.365","47452.712"
"Portugal","6067.641","6816.294","7348.955","7675.282","7839.185","8197.011","8631.786","9522.935","10396.022","11538.747","12939.573","13859.909","14630.873","14856.391","15358.187","15986.565","16786.649","17748.062","18715.976","19616.729","20674.674","21387.441","21773.752","21889.358","22825.953","23677.127","24745.319","25995.883","26547.815","25890.54","26635.018","26769.433","26438.145","27936.013","28742.318","29668.81","31604.416","33086.048","34901.704","36400.144","34042.658","36078.836","38745.676","40705.169","42617.71","44349.81","46066.741"
"Puerto Rico","6933.771","7608.168","7765.207","8035.193","8852.181","9231.255","10085.114","10731.553","11707.59","12627.762","13459.223","14142.972","15023.084","15979.408","16878.162","17877.218","18476.421","19547.857","20874.236","21911.359","22961.31","25631.524","26567.889","27677.432","28981.388","29332.524","29920.698","30545.743","30745.384","30541.049","30925.377","31824.12","32582.631","33172.653","33682.717","34006.721","34300.2","34627.223","34863.942","35907.411","34025.299","35942.78","37463.212","38775.735","39948.097","41063.097","42172.388"
"Qatar","85248.218","82781.118","74917.021","68788.72","77499.435","65829.393","66308.665","65780.767","68523.296","72172.18","54689.529","54689.243","61201.698","61792.007","63924.855","64710.062","67164.458","84474.262","90611.063","91750.144","96676.96","100185.809","105667.97","106752.377","119789.304","116805.029","130806.74","133290.015","118421.3","127921.268","145582.908","163740.318","169698.495","161194.263","143222.077","97846.548","84268.899","91742.827","93880.235","95107.743","93508.38","97262.161","102794.78","107191.33","111086.621","115421.047","119546.149"
"Romania","4960.106","5402.603","5931.969","6507.802","7118.244","7302.918","7588.677","7794.185","7986.79","7790.364","7619.215","6869.027","6434.376","6724.278","7181.704","7902.584","8411.777","8081.798","7818.205","7877.22","8296.941","8932.021","9860.797","10358.566","11804.794","12823.35","14356.351","15903.078","18146.443","17440.926","17077.462","17850.597","18833.963","19746.055","20611.966","21546.568","24197.403","27219.977","29289.664","31243.656","30526.307","32950.077","35316.294","37490.389","39694.77","41895.236","44177.817"
"Russian Federation","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","12659.148","12393.292","10817.155","10102.357","9008.826","8827.932","8677.816","8967.992","8597.489","9316.566","10523.631","11352.708","12136.523","13328.288","14723.632","16213.831","18113.849","20204.307","21679.803","20122.947","21269.608","22783.519","24278.842","26044.835","25730.584","24062.479","24104.124","25999.323","27389.367","28450.207","27903.302","29485.331","31306.36","32726.451","34066.644","35426.378","36816.559"
"Rwanda","415.614","449.627","448.845","476.541","544.56","567.206","590.137","582.635","584.384","553.803","563.631","541.003","589.462","576.214","368.983","496.837","571.042","637.53","640.07","605.39","653.06","705.736","791.39","804.13","856.291","943.836","1038.379","1122.977","1232.391","1292.036","1360.852","1470.327","1502.859","1566.504","1727.467","1824.761","1919.611","2005.479","2174.509","2362.728","2336.728","2457.89","2625.395","2833.977","3042.739","3261.861","3448.404"
"Saint Kitts and Nevis","3121.444","3527.609","3994.687","4086.914","4669.927","5162.048","5775.028","6460.792","7435.767","8231.076","9008.851","9483.414","9913.923","10574.696","11242.614","11732.266","12511.023","13511.881","13657.128","14237.752","15776.333","16750.85","17008.174","16408.207","17280.408","19295.593","20256.233","20684.486","22133.303","21166.306","21051.573","21647.972","20382.113","20969.604","22629.785","22562.678","23464.717","23818.758","24849.939","25749.434","20986.695","20729.969","23083.3","25235.933","26916.59","27896.886","28891.107"
"Saint Lucia","2450.068","2780.897","2976.326","3176.837","3505.763","4009.18","4608.748","4839.284","5623.106","6258.101","7059.404","7225.144","7851.776","8029.753","8168.012","8321.162","8580.493","8517.11","9016.692","9284.149","9356.785","9124.751","9235.548","9717.395","10584.745","10744.177","11613.911","12016.676","12698.359","12986.072","13120.646","13904.224","13662.858","14023.77","14213.305","13930.352","14633.124","15253.744","15907.146","16367.924","13359.365","13942.394","15691.365","16462.416","17101.646","17645.592","18122.562"
"Saint Vincent and the Grenadines","1724.901","1944.433","2100.699","2236.15","2421.871","2586.861","2762.507","2830.448","3296.226","3519.504","3797.327","3982.149","4362.947","4627.702","4672.543","5095.979","5245.499","5536.85","5850.209","6061.113","6309.956","6560.126","7053.433","7702.379","8201.936","8629.56","9532.129","10071.112","10419.248","10268.035","10029.316","10185.708","10339.712","10794.746","11204.618","11552.087","12383.753","12201.783","12752.27","13011.362","12606.055","12810.73","13735.357","14493.84","15239.284","15942.94","16664.534"
"Samoa","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","2657.709","2667.096","2851.657","3112.789","3321.513","3538.066","3722.082","4067.207","4252.382","4359.617","4571.693","4549.737","4684.837","4941.773","4789.244","4811.557","4865.965","5087.994","5489.367","5601.132","5567.767","5818.342","5652.893","5260.171","5423.481","5659.992","5926.962","6139.967","6332.638"
"San Marino","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","62411.85","65161.702","68822.112","74734.971","74942.003","67003.768","63043.514","58183.641","54797.229","53898.349","55875.218","56137.697","58102.788","59522.01","61567.767","64256.189","58426.593","61508.118","64827.761","67089.269","69022.307","71139.369","73257.388"
"Saudi Arabia","44909.016","47724.574","38254.357","31781.197","29896.881","26495.612","30120.015","27444.394","30605.219","30136.981","34298.556","38836.565","38865.957","38497.922","38592.254","38538.938","39314.553","39465.115","40080.145","38191.234","40253.205","39664.268","38217.705","42263.644","45726.102","48144.647","49310.147","49875.879","52251.894","49875.945","51264.4","55917.991","57284.449","56015.961","56785.545","49637.135","46422.904","48014.574","49157.118","49216.192","46810.63","48098.555","50166.726","51712.827","53222.675","54675.177","56120.853"
"Senegal","1070.011","1197.92","1334.042","1275.418","1331.45","1377.21","1405.755","1482.585","1480.255","1552.612","1554.249","1602.397","1614.78","1626.538","1611.577","1699.601","1719.097","1753.364","1835.394","1927.632","1999.472","2080.785","2064.232","2165.891","2269.641","2379.565","2444.329","2513.641","2587.115","2606.839","2652.858","2669.518","2739.419","2742.423","2830.699","2971.345","3075.934","3203.901","3388.938","3503.619","3478.479","3624.872","3823.999","4242.695","4577.174","4812.894","5081.822"
"Serbia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","6148.704","6393.659","5718.819","6320.469","6793.242","7395.111","7885.463","8850.943","10083.617","10962.444","12030.52","13013.416","12805.674","13102.163","13751.806","13938.823","14634.218","14667.214","14932.417","15856.452","16621.467","17883.076","19026.994","19145.561","20544.779","22043.634","23534.26","25080.379","26704.175","28395.385"
"Seychelles","4389.304","4562.489","4716.221","4876.631","5239.04","5912.942","6040.168","6221.481","6758.691","7699.977","8541.657","8954.243","9770.306","10510.939","10198.281","10309.926","11380.166","12836.476","13043.657","13217.522","13962.512","13932.474","14061.169","13469.666","13487.863","15091.503","16659.244","18792.733","18333.546","18197.219","18966.696","20947.836","21565.038","22369.391","23889.784","24138.251","25904.452","27711.687","28439.23","29222.321","25413.871","26119.207","27600.836","29142.106","30606.557","32082.725","33535.234"
"Sierra Leone","783.607","852.925","902.822","902.229","945.258","891.643","890.89","914.679","946.185","1008.22","1046.73","989.026","914.185","940.412","998.534","918.509","702.07","585.439","580.883","531.596","549.134","639.499","786.269","835.952","875.873","908.461","944.762","1020.247","1070.52","1088.369","1134.085","1203.173","1405.478","1746.554","1787.656","1599.215","1678.271","1633.73","1694.325","1781.092","1724.897","1771.437","1836.472","1908.337","2002.887","2100.215","2195.625"
"Singapore","9488.349","10969.161","11938.493","13293.562","14703.677","15053.666","15577.655","17422.598","19565.764","21750.435","23835.266","25552.027","27044.794","30088.209","33086.807","35129.53","36914.285","39332.069","37602.212","40007.606","43833.258","43136.354","45120.475","48756.577","54301.677","58717.055","63910.028","68628.442","67576.792","66148.973","75294.318","80052.391","82064.961","83001.788","84423.191","86974.748","89417.349","95350.436","100581.149","102573.465","97056.534","102741.99","107208.096","111323.186","115321.65","119143.931","123041.03"
"Slovak Republic","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","8244.458","8892.933","9739.656","10584.432","11306.885","11880.937","12026.949","12427.108","13161.304","13971.975","15025.418","16253.503","17867.155","19970.386","22727.137","24447.666","23262.71","24878.532","26111.488","26983.393","28015.76","29011.389","29941.177","29681.212","30933.598","32823.145","34137.419","32709.862","34815.265","37136.802","39382.716","41400.085","43417.624","45282.793"
"Slovenia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","11177.119","11821.413","12713.743","13510.717","14248.009","15250.704","15944.682","17094.223","18032.289","18998.122","19935.829","20896.57","22378.937","23938.48","26005.094","28467.954","30041.843","27681.646","28177.926","28968.844","29066.326","29990.161","30883.45","31646.795","33946.641","36678.309","39187.032","40879.323","38807.008","40820.21","43498.595","46000.801","48404.292","50729.208","52977.449"
"Solomon Islands","967.828","1006.007","1016.185","1062.164","1068.306","1035.681","1024.013","1105.893","1127.397","1188.142","1225.022","1305.131","1462.37","1513.304","1624.12","1774.718","1785.594","1750.403","1744.149","1713.225","1461.354","1338.252","1286.872","1360.441","1452.804","1542.174","1626.643","1704.122","1796.536","1815.56","1951.451","2091.106","2125.131","2227.445","2240.948","2244.945","2350.033","2467.929","2570.287","2590.688","2454.821","2483.092","2596.411","2709.094","2796.643","2872.823","2946.977"
"Somalia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","848.473","731.947","778.269","869.969","911.344","916.435","937.526","954.263","924.532","941.38","965.495","992.127","1019.787","1049.936","1084.191"
"South Africa","4642.229","5219.223","5379.786","5347.49","5678.341","5651.858","5638.444","5774.309","6098.072","6350.02","6420.369","6413.043","6259.593","6328.125","6517.644","6717.54","7003.297","7191.656","7199.521","7365.841","7726.309","7965.564","8274.185","8592.776","9127.72","9794.835","10527.842","11240.975","11657.626","11394.215","11695.965","12143.167","12035.402","12436.191","12514.286","12547.663","12581.664","12681.715","12898.427","12961.702","12032.412","12441.714","12779.135","13052.027","13295.721","13526.991","13750.276"
"South Sudan, Republic of","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","3100.981","1341.084","1577.529","1508.249","1361.585","1028.288","888.762","865.686","862.085","791.308","824.717","872.666","915.598","950.419","984.745","1017.853"
"Spain","7827.613","8452.97","9038.043","9502.625","9972.946","10494.354","11041.108","11932.244","12978.272","14133.88","15200.204","16068.518","16519.928","16637.368","17342.609","18393.035","19139.038","20168.381","21232.421","22445.17","23904.637","25258.714","25939.783","26711.517","27848.439","29218.094","30844.618","32179.126","32558.746","31308.772","31593.848","31872.363","31724.63","32452.66","33544.355","34938.577","37309.865","39626.469","41389.417","42608.816","38392.273","41545.837","44292.724","46367.966","48303.864","49759.073","51231.349"
"Sri Lanka","1051.652","1196.523","1320.318","1401.152","1532.857","1643.562","1731.29","1782.138","1875.95","1973.443","2151.819","2435.794","2385.846","2597.446","2839.218","3049.145","3459.026","3859.014","3818.852","3964.463","4367.502","4345.307","4542.34","4860.339","5218.679","5670.942","6242.37","6795.351","7287.577","7550.288","8194.266","9007.657","10315.18","10852.064","11256.856","11557.488","12224.216","12584.104","13169.094","13622.869","13214.802","13909.229","14717.468","15572.016","16457.921","17372.488","18321.637"
"Sudan","1081.59","1222.107","1312.955","1306.813","1220.738","1217.412","1328.098","1409.426","1492.858","1534.453","1508.593","1620.095","1698.271","1734.888","1782.248","2051.714","2153.383","2275.468","2440.579","2529.742","2740.051","3026.593","3177.455","3347.852","3522.958","3748.03","4009.423","4242.932","4378.015","4180.604","4281.184","5197.992","3929.483","3934.82","4509.179","4438.22","5568.776","4602.317","4472.923","4310.324","4097.683","4082.387","4114.888","4207.938","4335.888","4495.748","4662.105"
"Suriname","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","6529.874","5733.38","6021.034","5939.484","5575.021","6242.235","6984.707","7491.319","7650.317","7578.707","7648.103","8079.631","8413.239","9009.685","9751.066","10428.431","11234.879","11989.115","12555.09","12856.21","13496.582","14348.062","15773.417","16725.328","17091.745","15841.295","13939.971","16015.833","16626.76","16767.768","14513.354","14702.531","15084.081","15554.469","15952.558","16279.546","16552.258"
"Sweden","10543.49","12057.638","12974.508","13755.028","14849.471","15646.416","16389.8","17282.665","18236.53","19299.764","20023.01","20345.234","20500.674","20477.547","21561.017","22824.705","23591.068","24726.004","26062.742","27539.901","29426.548","30417.623","31465.867","32663.046","34858.337","36823.063","39421.014","41554.56","41837.397","39962.767","42494.088","44450.32","45258.806","46098.791","46936.61","48857.878","50061.576","52413.085","54130.055","55324.383","54146.128","55566.321","57949.056","60096.765","62076.84","64055.316","66072.719"
"Switzerland","18152.327","20090.539","20899.666","21715.175","23156.651","24681.049","25514.979","26397.97","28005.581","30160.139","32182.347","32584.684","32835.236","33232.291","34074.2","34739.252","35356.034","36672.005","38127.719","39172.47","41447.832","42848.788","43192.301","43612.211","45649.975","48082.399","51286.406","54437.735","56338.417","54816.776","56611.87","58272.814","60274.742","62659.2","64515.44","66399.868","68463.079","69853.099","73146.585","74744.585","72873.716","75880.32","78824.767","80783.687","82963.829","84594.475","86692.867"
"Syria","2075.051","2381.478","2510.25","2564.928","2404.721","2573.663","2420.452","2428.937","2741.983","2589.827","2866.401","3185.718","3585.366","3834.047","4023.585","4221.128","4318.621","4243.068","4422.983","4241.734","4323.169","4459.072","4665.36","4522.013","4814.171","5104.52","5390.543","5707.769","5931.986","6177.252","6373.364","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"São Tomé and Príncipe","1560.944","1502.02","1608.716","1569.744","1490.65","1637.109","1531.321","1481.386","1521.068","1583.604","1562.774","1589.424","1589.986","1626.413","1666.117","1702.985","1727.742","1742.637","1773.657","1811.307","1827.351","1880.484","1919.572","2041.236","2127.648","2292.215","2508.855","2585.445","2789.856","2811.979","2965.186","3089.646","3041.828","3409.17","3911.894","3904.929","3952.145","3975.025","4093.379","4141.425","3829.284","3925.99","4141.316","4317.734","4509.306","4705.569","4717.224"
"Taiwan Province of China","3449.993","3971.617","4343.042","4848.411","5447.375","5815.221","6549.008","7483.861","8273.238","9253.729","10010.454","11104.099","12184.608","13200.877","14369.471","15492.797","16620.204","17750.631","18546.749","19932.275","21485.331","21524.269","22945.313","24268.481","26554.947","28753.161","31187.41","34097.183","34918.472","34493.29","38400.049","40532.641","41741.269","43435.454","45494.282","46910.952","47272.281","48500.845","51011.079","53428.763","55723.903","59397.884","62553.421","65530.625","68390.611","71121.129","73897.433"
"Tajikistan","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","1464.419","1323.864","1056.454","933.671","898.517","915.628","955.947","976.626","1063.703","1176.909","1279.933","1408.458","1567.291","1688.829","1822.807","1974.94","2125.645","2176.815","2293.511","2458.602","2708.847","3004.451","3303.956","2958.106","3071.444","3070.049","3304.41","3543.752","3675.627","3855.917","4045.508","4226.373","4410.453","4599.17","4794.207"
"Tanzania","580.725","619.387","641.387","661.662","687.643","719.66","759.349","799.829","838.918","877.473","943.82","963.363","957.82","959.39","963.933","989.839","1026.239","1054.81","1081.852","1123.909","1176.318","1241.361","1315.042","1392.183","1498.608","1612.975","1690.937","1830.896","1916.213","1977.12","2066.294","2210.068","2099.43","2194.768","2243.354","2348.069","2478.806","2527.809","2687.359","2840.653","2820.598","2862.998","2974.316","3091.476","3219.501","3362.853","3509.316"
"Thailand","1577.877","1793.208","1968.066","2119.777","2280.906","2418.187","2556.543","2817.783","3247.854","3726.96","4255.852","4713.298","5212.967","5747.098","6281.349","6864.79","7304.165","7140.453","6589.606","6910.348","7302.898","7648.842","8179.409","8863.744","9608.542","10256.306","11024.838","11869.685","12244.806","12191.408","13195.364","13519.129","14870.976","15407.665","15480.211","15822.371","16616.195","17422.952","18530.21","19233.878","18236.36","19003.681","20492.566","21715.451","22912.3","24193.47","25531.321"
"Timor-Leste","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","1250.069","1467.214","1371.03","1345.104","1363.741","1422.457","1377.78","1526.443","1692.881","1823.716","1964.554","2084.585","2320.056","2483.184","2721.05","2912.736","3130.572","3145.483","3124.938","3702.838","3382.312","3119.051","3243.129","3305.686","3342.684","3441.451","3548.067"
"Togo","998.37","1021.231","1007.225","956.184","1010.92","1044.369","1064.131","1030.071","1139.653","1199.011","1283.823","1289.12","1249.404","1048.197","1192.603","1420.93","1351.753","1383.72","1324.381","1334.978","1312.07","1314.947","1351.026","1431.78","1419.403","1359.49","1400.019","1382.877","1427.688","1477.606","1543.813","1632.627","1655.51","1720.574","1792.303","1885.302","1954.215","2012.255","2110.648","2210.976","2198.994","2261.439","2358.302","2471.032","2597.205","2726.399","2859.523"
"Tonga","723.901","898.467","1070.336","1164.313","1720.114","1883.754","2101.847","2184.737","2171.755","2270.382","2453.795","2670.408","2614.428","2661.378","2779.561","3052.656","3100.973","3129.164","3224.052","3331.947","3520.181","3634.906","3842.544","3899.997","3913.343","4001.925","4016.015","4004.28","4265.579","4064.636","4134.864","4488.443","4610.652","4730.994","4941.729","5073.825","5519.317","5813.762","5978.842","6137.823","6191.05","6155.943","6460.718","6849.059","7208.116","7506.929","7792.762"
