Code,Year,Entity,Population,GDP_2010_dolar,GDP_PPP_2010_dolar,Consumption
FRA,2015,France,66548272.0,2244073655563.43,2501454820694.543,2756.509528409397
FRA,2016,France,66724104.0,2246427746587.3296,2602193327266.364,2711.5735116851897
FRA,2017,France,66864379.0,2307962323509.253,2666546611377.656,2694.478425510109
FRA,2018,France,66965912.0,2422554044801.07,2713608086927.449,2742.014737787161
FRA,2019,France,67055854.0,2317300126149.8027,2754336385019.711,2688.6512543545123
DEU,1965,Germany,75963695.0,0.0,0.0,2966.3833253173657
DEU,1966,Germany,76600311.0,0.0,0.0,2973.8458418005375
DEU,1967,Germany,76951336.0,0.0,0.0,2966.3760344144257
DEU,1968,Germany,77294314.0,0.0,0.0,3167.2819942001433
DEU,1969,Germany,77909682.0,0.0,0.0,3417.0282782518616
DEU,1970,Germany,78169289.0,0.0,0.0,3607.107806261617
DEU,1971,Germany,78312842.0,0.0,0.0,3640.362393523978
DEU,1972,Germany,78688452.0,0.0,0.0,3766.8680381422773
DEU,1973,Germany,78936666.0,0.0,0.0,3983.4683629681836
DEU,1974,Germany,78967433.0,0.0,0.0,3913.5595267370177
DEU,1975,Germany,78673554.0,0.0,0.0,3759.605881909578
DEU,1976,Germany,78336950.0,0.0,0.0,4012.1327064786165
DEU,1977,Germany,78159814.0,0.0,0.0,4001.0612597947184
DEU,1978,Germany,78091820.0,0.0,0.0,4145.723099420043
DEU,1979,Germany,78126350.0,0.0,0.0,4375.908875430763
DEU,1980,Germany,78288576.0,2259141875637.105,2265850193679.9185,4231.68313737438
DEU,1981,Germany,78407907.0,1723302536044.3623,2251183060998.152,4099.004636774292
DEU,1982,Germany,78333366.0,1566969549173.194,2233156469973.89,3953.765662161584
DEU,1983,Germany,78128282.0,1514505524451.9397,2283168866779.0894,4009.8596591982077
DEU,1984,Germany,77858685.0,1368094098625.7075,2332125099434.1147,4156.770712816807
DEU,1985,Germany,77684873.0,1339619088212.3342,2374178791569.087,4278.250232868806
DEU,1986,Germany,77720436.0,1878119466666.6665,2434904772413.793,4242.895115151922
DEU,1987,Germany,77839920.0,2255872156804.734,2443776857988.166,4278.470094028544
DEU,1988,Germany,78144619.0,2335336156250.0,2520085437500.0,4292.1217309204085
DEU,1989,Germany,78751283.0,2211512349593.496,2595994723577.236,4246.535419401293
DEU,1990,Germany,79433029.0,2667139742930.592,2700899421593.83,4179.820325316112
DEU,1991,Germany,80013896.0,3003765779148.674,2814602097470.6973,4078.2445885443763
DEU,1992,Germany,80624598.0,3320877815568.863,2847920814371.258,3995.811837619538
DEU,1993,Germany,81156363.0,3127964169767.4424,2802994776744.1865,3978.0871631181426
DEU,1994,Germany,81438348.0,3252261147392.29,2858404975056.689,3940.4923451732443
DEU,1995,Germany,81678051.0,3703667691289.967,2881627261300.992,3960.5082813229656
DEU,1996,Germany,81914831.0,3471681663811.5635,2872807533190.578,4091.4597390515232
DEU,1997,Germany,82034771.0,3008553440083.726,2907593356357.928,4038.0867758844975
DEU,1998,Germany,82047195.0,3000206567010.3096,2954884956701.0312,4006.192577380006
DEU,1999,Germany,82100243.0,2876316944024.206,2987884724155.3203,3949.3104723896286
DEU,2000,Germany,82211508.0,2467900696585.3657,3040635281951.22,3974.2841768986573
DEU,2001,Germany,82349925.0,2396255779886.1484,3072801950664.137,4044.4791504365808
DEU,2002,Germany,82488495.0,2517242547152.194,3065699055088.702,3990.8882818081333
DEU,2003,Germany,82534176.0,2964672303196.347,3032718323287.6714,3987.042437900397
DEU,2004,Germany,82516260.0,3247107734993.331,3068568960426.857,3983.188396574663
DEU,2005,Germany,82469422.0,3180449483010.753,3082939256774.194,3934.9809834447665
DEU,2006,Germany,82376451.0,3239442396666.667,3194324998333.333,4031.456097775681
DEU,2007,Germany,82266372.0,3603666641815.2354,3284880366288.493,3858.34281261564
DEU,2008,Germany,82110097.0,3793071004291.8457,3255580497854.077,3896.740460214168
DEU,2009,Germany,81902307.0,3463593567736.884,3104451096319.4995,3653.9744354300838
DEU,2010,Germany,81776930.0,3402444000000.0,3219132000000.0,3807.2784995676384
DEU,2011,Germany,80274983.0,3633871687826.736,3310452546676.6245,3667.2705833575483
DEU,2012,Germany,80425823.0,3352456162458.837,3312425709476.7656,3713.572452606764
DEU,2013,Germany,80645605.0,3495527574468.085,3396948851063.83,3818.3248568123604
DEU,2014,Germany,80982500.0,3583636132008.517,3507193236337.8286,3657.3026905306565
DEU,2015,Germany,81686611.0,3089006341601.701,3578584160170.0923,3722.1855926851435
DEU,2016,Germany,82348669.0,3151996505425.2715,3784280155407.7705,3783.2596777365384
DEU,2017,Germany,82657002.0,3275072854009.596,3916126496230.295,3828.886832760794
DEU,2018,Germany,82905782.0,3441861163490.472,3961885703778.001,3733.153018126125
DEU,2019,Germany,83092962.0,3293227266754.2705,3984404591327.201,3649.9756666894723
GRC,1965,Greece,8550333.0,0.0,0.0,79.002699199888
GRC,1966,Greece,8613651.0,0.0,0.0,86.34053967202401
GRC,1967,Greece,8684088.0,0.0,0.0,95.10020461352802
GRC,1968,Greece,8740765.0,0.0,0.0,98.893231352302
GRC,1969,Greece,8772764.0,0.0,0.0,104.35333419398201
GRC,1970,Greece,8792806.0,0.0,0.0,115.89014129888801
GRC,1971,Greece,8831036.0,0.0,0.0,138.157874632616
GRC,1972,Greece,8888628.0,0.0,0.0,155.03673613605002
GRC,1973,Greece,8929086.0,0.0,0.0,178.53537622152402
GRC,1974,Greece,8962022.0,0.0,0.0,174.51708189835801
GRC,1975,Greece,9046541.0,0.0,0.0,197.92848997618003
GRC,1976,Greece,9188150.0,0.0,0.0,218.736836647466
GRC,1977,Greece,9308479.0,0.0,0.0,226.845974149882
GRC,1978,Greece,9429959.0,0.0,0.0,230.64731287770803
GRC,1979,Greece,9548258.0,0.0,0.0,202.39804204906602
GRC,1980,Greece,9642505.0,149591522935.77982,223181904179.40875,200.49737199804204
GRC,1981,Greece,9729350.0,125147833641.40482,218047205175.6008,195.90736248790404
GRC,1982,Greece,9789513.0,122942854656.2228,215556114882.50653,198.545477589328
GRC,1983,Greece,9846627.0,107657389544.68803,214669062394.60373,199.879581370208
GRC,1984,Greece,9895801.0,100570341147.93855,217524653193.20935,208.62488526200198
GRC,1985,Greece,9934300.0,96325583138.17332,222143428571.4286,220.40835259294604
GRC,1986,Greece,9967213.0,111289823754.78928,223592186973.18008,220.80041778473202
GRC,1987,Greece,10000595.0,125055387573.96452,216166923076.9231,241.582079307736
GRC,1988,Greece,10036983.0,139761781250.0,224102281250.0,255.176574992212
GRC,1989,Greece,10089498.0,138210617886.17886,230600780487.8049,276.72968688099803
GRC,1990,Greece,10196792.0,162061473007.71207,226931442159.38303,291.40850381147243
GRC,1991,Greece,10319927.0,167742277606.4158,232184254164.09625,293.68452608711624
GRC,1992,Greece,10399061.0,179518840718.5629,232115044311.3773,298.06652229585353
GRC,1993,Greece,10460415.0,163160109302.3256,227017181395.34888,302.7314057305358
GRC,1994,Greece,10512922.0,170261691609.97733,230602503401.36053,308.02049270190895
GRC,1995,Greece,10562153.0,194322191841.23483,233755918412.3484,319.12474870642325
GRC,1996,Greece,10608800.0,201012115631.69165,237771642398.28696,327.79430065835027
GRC,1997,Greece,10661259.0,193058991104.134,247030252223.9665,336.7928207030627
GRC,1998,Greece,10720509.0,191922012371.13403,255661841237.11343,357.81577448605367
GRC,1999,Greece,10761698.0,193948560766.5154,261523108421.5835,357.22174590590515
GRC,2000,Greece,10805808.0,165994571707.31708,268770844878.0488,376.71632936751195
GRC,2001,Greece,10862132.0,166449411764.7059,278141449715.37006,380.36472458743805
GRC,2002,Greece,10902022.0,185612788048.55276,288966795518.2073,381.9337684953936
GRC,2003,Greece,10928070.0,237804268493.1507,304561771689.49774,401.4534906781326
GRC,2004,Greece,10955141.0,275671190751.4451,319970562916.852,402.09859657551993
GRC,2005,Greece,10987314.0,274584223655.914,321065464086.02155,404.3600289426304
GRC,2006,Greece,11020362.0,293406410000.00006,338555176666.6667,417.41914145758307
GRC,2007,Greece,11048473.0,332651944894.6516,349142014586.71,425.0600261895364
GRC,2008,Greece,11077841.0,357409339055.794,341590248927.03864,410.1169143773893
GRC,2009,Greece,11107017.0,333552457321.84814,330552928739.2326,396.6021066934717
GRC,2010,Greece,11121341.0,297368000000.0,310789000000.0,376.8352955886579
GRC,2011,Greece,11104899.0,274282231516.0568,276349919342.79315,367.41418967477676
GRC,2012,Greece,11045011.0,230052333699.23163,261362962312.47717,347.2539829131506
GRC,2013,Greece,10965211.0,223328085106.383,266362893617.02127,328.51951565914857
GRC,2014,Greece,10892413.0,217103166784.9539,267334569198.0128,309.01963635326143
GRC,2015,Greece,10820883.0,179766100637.84552,266060562721.47412,311.0034972178089
GRC,2016,Greece,10775971.0,175195925796.28983,268959047952.39764,305.8176016473801
GRC,2017,Greece,10754679.0,177979019876.62784,273586194653.87253,322.28089458114454
GRC,2018,Greece,10732882.0,184302980942.8285,277578450016.71686,320.60668011677456
GRC,2019,Greece,10717169.0,175126808147.17477,282769555847.569,316.2326698096026
HUN,1965,Hungary,10147935.0,0.0,0.0,184.96178946958
HUN,1966,Hungary,10178653.0,0.0,0.0,187.445303622612
HUN,1967,Hungary,10216604.0,0.0,0.0,178.878097364408
HUN,1968,Hungary,10255815.0,0.0,0.0,185.58986271861602
HUN,1969,Hungary,10298723.0,0.0,0.0,198.74569045189202
HUN,1970,Hungary,10337910.0,0.0,0.0,214.123639992464
HUN,1971,Hungary,10367537.0,0.0,0.0,221.08031692829002
HUN,1972,Hungary,10398489.0,0.0,0.0,228.25890597329
HUN,1973,Hungary,10432055.0,0.0,0.0,247.17659251631602
HUN,1974,Hungary,10478720.0,0.0,0.0,254.747120561978
HUN,1975,Hungary,10540525.0,0.0,0.0,269.690154556218
HUN,1976,Hungary,10598677.0,0.0,0.0,288.12505985568606
HUN,1977,Hungary,10648031.0,0.0,0.0,302.95330730903004
HUN,1978,Hungary,10684822.0,0.0,0.0,324.012867792576
HUN,1979,Hungary,10704152.0,0.0,0.0,320.846250518662
HUN,1980,Hungary,10711122.0,60975567787.97146,179470662589.19467,321.81885998385997
HUN,1981,Hungary,10711848.0,56692129390.018486,183219537892.79117,318.55150418962194
HUN,1982,Hungary,10705535.0,54369141862.48912,188400915578.76416,319.965823396632
HUN,1983,Hungary,10689463.0,47802735244.5194,191042397976.39127,314.30481671476804
HUN,1984,Hungary,10668095.0,44436300727.566696,194819621665.3193,322.76021388121603
HUN,1985,Hungary,10648713.0,43451081967.21311,193585402029.66437,332.9670294064
HUN,1986,Hungary,10630564.0,49131040613.02682,196826531800.76627,331.353568242656
HUN,1987,Hungary,10612741.0,52119692307.69232,202570565088.75745,345.96729754039205
HUN,1988,Hungary,10596487.0,54764906250.0,201241625000.0,337.822412782716
HUN,1989,Hungary,10481719.0,53332322493.22494,200966631436.3144,329.047270628742
HUN,1990,Hungary,10373988.0,57335562982.00514,190854383033.419,325.31047005584986
HUN,1991,Hungary,10373400.0,55657855644.66379,166874275138.80322,304.2055899404134
HUN,1992,Hungary,10369341.0,60206991616.76647,160592912574.8503,286.8241713752615
HUN,1993,Hungary,10357523.0,60560755813.9535,158698611627.90698,282.74501924793213
HUN,1994,Hungary,10343355.0,63526945578.23129,162701798185.94104,286.4706738132211
HUN,1995,Hungary,10328965.0,66439854465.27013,165640255788.3131,288.32242620028927
HUN,1996,Hungary,10311238.0,64843021413.27624,163931563169.1649,293.5035298642451
HUN,1997,Hungary,10290486.0,64250660387.23182,168130055468.3412,285.37689786112236
HUN,1998,Hungary,10266570.0,65176995876.288666,174012288659.79382,288.5050822427055
HUN,1999,Hungary,10237530.0,64242817952.59709,178000768532.5265,289.058368667326
HUN,2000,Hungary,10210971.0,59794111219.5122,183917102439.0244,279.7703612365087
HUN,2001,Hungary,10187576.0,66193074003.795074,190225963946.8691,287.7983036438766
HUN,2002,Hungary,10158608.0,81938825396.82538,199185432306.25583,283.6652781719081
HUN,2003,Hungary,10129552.0,101115978082.1918,206542027397.26028,285.57519137176763
HUN,2004,Hungary,10107146.0,120000071142.73012,216498781680.74704,287.6144093340638
HUN,2005,Hungary,10087065.0,126149968172.04305,225109488172.04303,307.2199523742562
HUN,2006,Hungary,10071370.0,125015788333.33334,233730860000.00003,302.56500685873306
HUN,2007,Hungary,10055780.0,147225176661.2642,233961870340.3566,298.09507839870366
HUN,2008,Hungary,10038188.0,160172085836.90988,232102454935.6223,292.0733082704945
HUN,2009,Hungary,10022650.0,132910321064.9961,218972701644.47928,267.6455908691705
HUN,2010,Hungary,10000023.0,131917000000.0,220386000000.0,273.1508811918509
HUN,2011,Hungary,9971727.0,137419327856.6094,222325395070.9485,271.92429044798155
HUN,2012,Hungary,9920362.0,122034796926.45444,218673817782.65643,252.32916312155663
HUN,2013,Hungary,9893082.0,126768680851.06384,226896765957.4468,239.93306672469262
